Player ID,Player Name,Team Name,Year,Matches,Not Outs,Runs,Highest Score,Average,Balls Faced,Strike Rate,Hundreds,Fifties,Fours,Sixes,Catches,Stumpings
1113,Axar Patel,DC,2016,14,3,111,36*,15.85,77,144.15,0,0,4,8,2,0
1113,Axar Patel,DC,2015,14,3,206,40*,22.88,174,118.39,0,0,13,8,7,0
1113,Axar Patel,DC,2014,17,2,62,42*,10.33,60,103.33,0,0,6,1,7,0
6870,Lalit Yadav,DC,Career,27,5,305,48*,19.06,290,105.17,0,0,27,7,16,0
6870,Lalit Yadav,DC,2024,2,0,10,7,5.00,12,83.33,0,0,1,0,0,0
6870,Lalit Yadav,DC,2023,6,1,66,38,13.20,59,111.86,0,0,8,0,5,0
6870,Lalit Yadav,DC,2022,12,1,161,48*,23.00,146,110.27,0,0,11,7,6,0
6870,Lalit Yadav,DC,2021,7,3,68,22*,34.00,73,93.15,0,0,7,0,5,0
221,Mitchell Marsh,DC,Career,42,2,666,89,19.59,521,127.83,0,3,48,38,10,0
221,Mitchell Marsh,DC,2024,4,0,61,23,15.25,38,160.53,0,0,9,3,0,0
221,Mitchell Marsh,DC,2023,9,0,128,63,14.22,97,131.96,0,1,11,7,3,0
221,Mitchell Marsh,DC,2022,8,0,251,89,31.38,189,132.80,0,2,19,14,0,0
221,Mitchell Marsh,DC,2020,1,0,0,0*,0.00,1,0.00,0,0,0,0,0,0
221,Mitchell Marsh,DC,2016,3,0,7,7,7.00,11,63.63,0,0,0,0,0,0
221,Mitchell Marsh,DC,2013,9,1,141,38,20.14,106,132.07,0,0,6,10,7,0
221,Mitchell Marsh,DC,2011,5,1,50,37,25.00,49,102.04,0,0,2,3,0,0
221,Mitchell Marsh,DC,2010,3,0,28,15,14.00,30,93.33,0,0,1,1,0,0
20731,Gulbadin Naib,DC,Career,2,0,19,19,19.00,15,126.67,0,0,1,1,1,0
20731,Gulbadin Naib,DC,2024,2,0,19,19,19.00,15,126.67,0,0,1,1,1,0
20706,Sumit Kumar,DC,Career,4,1,18,9*,9.00,24,75.00,0,0,2,1,1,0
20706,Sumit Kumar,DC,2024,4,1,18,9*,9.00,24,75.00,0,0,2,1,1,0
3188,Pravin Dubey,DC,Career,4,1,23,16,23.00,33,69.70,0,0,2,0,1,0
3188,Pravin Dubey,DC,2023,1,0,16,16,16.00,20,80.00,0,0,2,0,0,0
3188,Pravin Dubey,DC,2020,3,1,7,7*,0.00,13,53.84,0,0,0,0,1,0
20624,Vicky Ostwal,DC,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5433,Anrich Nortje,DC,Career,46,9,49,23*,8.17,49,100.00,0,0,6,0,10,0
5433,Anrich Nortje,DC,2024,6,0,4,4,2.00,8,50.00,0,0,0,0,1,0
5433,Anrich Nortje,DC,2023,10,4,37,23*,12.33,29,127.59,0,0,6,0,2,0
5433,Anrich Nortje,DC,2022,6,1,1,1*,-,6,16.67,0,0,0,0,2,0
5433,Anrich Nortje,DC,2021,8,0,0,0,0.00,0,0.00,0,0,0,0,1,0
5433,Anrich Nortje,DC,2020,16,4,7,3*,7.00,6,116.66,0,0,0,0,4,0
261,Kuldeep Yadav,DC,Career,84,21,183,35*,15.25,216,84.72,0,0,16,3,20,0
261,Kuldeep Yadav,DC,2024,11,2,47,35*,15.67,41,114.63,0,0,6,1,2,0
261,Kuldeep Yadav,DC,2023,14,8,31,10*,15.50,48,64.58,0,0,2,0,2,0
261,Kuldeep Yadav,DC,2022,14,6,48,16*,48.00,52,92.31,0,0,3,2,5,0
261,Kuldeep Yadav,DC,2020,5,1,13,12,13.00,21,61.90,0,0,1,0,0,0
261,Kuldeep Yadav,DC,2019,9,2,12,10*,6.00,8,150.00,0,0,1,0,3,0
261,Kuldeep Yadav,DC,2018,16,2,12,7*,12.00,24,50.00,0,0,1,0,6,0
261,Kuldeep Yadav,DC,2017,12,0,20,16,10.00,22,90.90,0,0,2,0,1,0
261,Kuldeep Yadav,DC,2016,3,0,0,0,0.00,0,0.00,0,0,0,0,1,0
2964,Khaleel Ahmed,DC,Career,57,0,1,1,0.25,7,14.29,0,0,0,0,4,0
2964,Khaleel Ahmed,DC,2024,14,0,0,0,-,,-,0,0,0,0,1,0
2964,Khaleel Ahmed,DC,2023,9,0,0,0,-,,-,0,0,0,0,2,0
2964,Khaleel Ahmed,DC,2022,10,0,0,0,0.00,2,0.00,0,0,0,0,0,0
2964,Khaleel Ahmed,DC,2021,7,0,1,1,1.00,2,50.00,0,0,0,0,0,0
2964,Khaleel Ahmed,DC,2020,7,0,0,0*,0.00,2,0.00,0,0,0,0,1,0
2964,Khaleel Ahmed,DC,2019,9,0,0,0*,0.00,1,0.00,0,0,0,0,0,0
2964,Khaleel Ahmed,DC,2018,1,0,0,0,0.00,0,0.00,0,0,0,0,0,0
38,Ishant Sharma,DC,Career,79,19,57,10*,9.50,69,82.61,0,0,4,2,11,0
38,Ishant Sharma,DC,2024,9,2,1,1*,-,7,14.29,0,0,0,0,2,0
38,Ishant Sharma,DC,2023,8,1,1,1*,-,1,100.00,0,0,0,0,0,0
38,Ishant Sharma,DC,2019,13,3,10,10*,0.00,3,333.33,0,0,1,1,1,0
38,Ishant Sharma,DC,2017,6,1,8,5*,4.00,12,66.66,0,0,1,0,0,0
38,Ishant Sharma,DC,2011,12,5,4,1*,0.00,5,80.00,0,0,0,0,3,0
38,Ishant Sharma,DC,2010,7,1,6,6*,6.00,17,35.29,0,0,0,0,1,0
38,Ishant Sharma,DC,2009,11,1,16,9,8.00,13,123.07,0,0,1,1,2,0
38,Ishant Sharma,DC,2008,13,5,11,4*,11.00,11,100.00,0,0,1,0,2,0
3781,Jhye Richardson,DC,Career,4,0,17,15,5.67,26,65.38,0,0,2,0,1,0
3781,Jhye Richardson,DC,2024,1,0,2,2,2.00,2,100.00,0,0,0,0,0,0
3781,Jhye Richardson,DC,2021,3,0,15,15,7.50,24,62.50,0,0,2,0,1,0
20727,Lizaad Williams,DC,Career,2,1,1,1*,-,2,50.00,0,0,0,0,1,0
20727,Lizaad Williams,DC,2024,2,1,1,1*,-,2,50.00,0,0,0,0,1,0
5622,Mukesh Kumar,DC,Career,20,4,10,6*,10.00,18,55.56,0,0,0,0,6,0
5622,Mukesh Kumar,DC,2024,10,1,3,3,3.00,9,33.33,0,0,0,0,3,0
5622,Mukesh Kumar,DC,2023,10,3,7,6*,-,9,77.78,0,0,0,0,3,0
