Player ID,Player Name,Team Name,Year,Matches,Not Outs,Runs,Highest Score,Average,Balls Faced,Strike Rate,Hundreds,Fifties,Fours,Sixes,Catches,Stumpings,Overs,Runs Given,Wickets,Best Bowling,Bowling Average,Bowling Economy,Bowling Strike Rate,4 Wickets,5 Wickets
135,Ajinkya Rahane,CSK,2013,18,4,488,68*,34.85,458,106.55,0,4,42,11,10,0,0,0,0,-,-,-,-,0,0
135,Ajinkya Rahane,CSK,2012,16,2,560,103*,40.00,433,129.33,1,3,73,10,11,0,0,0,0,-,-,-,-,0,0
135,Ajinkya Rahane,CSK,2011,10,1,120,52,20.00,98,122.44,0,1,12,2,1,0,0,0,0,-,-,-,-,0,0
135,Ajinkya Rahane,CSK,2009,8,1,144,62*,24.00,123,117.07,0,2,12,3,1,0,6,5,1,1/5,5.00,5.00,6.00,0,0
135,Ajinkya Rahane,CSK,2008,2,0,4,4,2.00,17,23.52,0,0,1,0,0,0,-,-,-,-,-,-,-,-,-
5612,Shaik Rasheed,CSK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20689,Sameer Rizvi,CSK,Career,8,1,51,21,12.75,43,118.60,0,0,4,2,4,0,0,0,0,-,-,-,-,0,0
20689,Sameer Rizvi,CSK,2024,8,1,51,21,12.75,43,118.60,0,0,4,2,4,0,0,0,0,-,-,-,-,0,0
20715,Avanish Rao Aravelly,CSK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Ravindra Jadeja,CSK,Career,239,75,2917,62*,27.01,2259,129.13,0,3,212,104,103,0,3811,4824,160,5/16,30.15,7.59,23.82,3,1
9,Ravindra Jadeja,CSK,2024,13,4,225,57*,37.50,165,136.36,0,1,19,5,6,0,264,329,8,3/18,41.13,7.48,33.00,0,0
9,Ravindra Jadeja,CSK,2023,16,4,190,25*,23.75,133,142.86,0,0,11,9,9,0,342,431,20,3/20,21.55,7.56,17.10,0,0
9,Ravindra Jadeja,CSK,2022,10,4,116,26*,19.33,98,118.37,0,0,6,5,7,0,198,248,5,3/39,49.60,7.52,39.60,0,0
9,Ravindra Jadeja,CSK,2021,16,9,227,62*,75.66,156,145.51,0,1,19,9,13,0,294,346,13,3/13,26.61,7.06,22.61,0,0
9,Ravindra Jadeja,CSK,2020,14,6,232,50,46.40,135,171.85,0,1,22,11,5,0,218,318,6,2/42,53.00,8.75,36.33,0,0
9,Ravindra Jadeja,CSK,2019,16,6,106,31*,35.33,88,120.45,0,0,7,4,9,0,324,343,15,3/9,22.86,6.35,21.60,0,0
9,Ravindra Jadeja,CSK,2018,16,5,89,27*,17.80,74,120.27,0,0,3,4,11,0,246,303,11,3/18,27.54,7.39,22.36,0,0
9,Ravindra Jadeja,CSK,2017,12,6,158,28,39.50,113,139.82,0,0,13,4,2,0,228,349,5,2/28,69.80,9.18,45.60,0,0
9,Ravindra Jadeja,CSK,2016,15,6,191,36*,21.22,178,107.30,0,0,14,4,4,0,241,311,8,2/18,38.87,7.74,30.12,0,0
9,Ravindra Jadeja,CSK,2015,17,5,132,24,18.85,126,104.76,0,0,7,3,13,0,256,330,11,4/11,30.00,7.73,23.27,1,0
9,Ravindra Jadeja,CSK,2014,16,5,146,36*,29.20,110,132.72,0,0,9,5,4,0,326,443,19,4/12,23.31,8.15,17.15,2,0
9,Ravindra Jadeja,CSK,2013,18,6,201,38*,25.12,135,148.88,0,0,17,6,6,0,259,323,13,3/20,24.84,7.48,19.92,0,0
9,Ravindra Jadeja,CSK,2012,19,2,191,48,15.91,151,126.49,0,0,13,9,2,0,210,273,12,5/16,22.75,7.80,17.50,0,1
9,Ravindra Jadeja,CSK,2011,14,3,283,47,31.44,228,124.12,0,0,20,14,1,0,252,305,8,2/25,38.12,7.26,31.50,0,0
9,Ravindra Jadeja,CSK,2009,13,2,295,42,26.81,266,110.90,0,0,21,6,4,0,140,151,6,3/15,25.16,6.47,23.33,0,0
